GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AVLTree,com.baeldung.avltree,AVLTree.Node,0,9,0,0,0,3,0,1,0,1
AVLTree,com.baeldung.avltree,AVLTree,19,296,4,36,3,67,4,31,0,15
